traditional	simplified	pinyin	translation_fr-FR
陸良縣	陆良县	Lu4 liang2 xian4	"Xian de Luliang (Yunnan)"
陸貝	陆贝	lu4 bei4	"escargot terrestre"
隴	陇	Long3	"autre nom de la province du Gansu"
陳	陈	chen2	"arranger__exposer à un supérieur__vieux__ancien__(nom de famille Chen ou Tran)"
陳其邁	陈其迈	Chen2 Qi2 mai4	"Chen Chi-mai"
陳列	陈列	chen2 lie4	"exposer__étaler"
陳化	陈化	chen2 hua4	"vieillir__murir (vin, timbre, etc.)"
陳子昂	陈子昂	Chen2 Zi3 ang2	"Chen Zi'ang"
陳年	陈年	chen2 nian2	"vieux__stocké depuis de nombreuses années"
陳慶炎	陈庆炎	Chen2 Qing4 yan2	"Tony Tan"
陳建仁	陈建仁	Chen2 Jian4 ren2	"Chen Chien-jen"
陳志明	陈志明	chen2 zhi4 ming2	"Chen Zhiming (mathématicien)__Dominic Chan (prêtre)"
陳情	陈情	chen2 qing2	"donner un compte-rendu complet"
陳敏爾	陈敏尔	Chen2 Min3 er3	"Chen Min'er__Chen Miner"
陳舊	陈旧	chen2 jiu4	"vieux__démodé__désuet"
陳水扁	陈水扁	Chen2 Shui3 bian3	"Chen Shui-bian"
陳濤	陈涛	chen2 tao1	"Chen Tao"
陳腐	陈腐	chen2 fu3	"avarié__suranné__banal__désuet"
陳規陋習	陈规陋习	chen2 gui1 lou4 xi2	"conventions périmées__anciennes façons"
陳賬	陈账	chen2 zhang4	"vieille dette"
陳述	陈述	chen2 shu4	"exposer"
陳跡	陈迹	chen2 ji4	"vestiges du passé__choses surannées__vieilleries"
陳陳相因	陈陈相因	chen2 chen2 xiang1 yin1	"suivre la routine"
陘	陉	xing2	"abrupt"
陋	陋	lou4	"laid__misérable__étroit__mauvais"
陋俗	陋俗	lou4 su2	"coutume indésirable"
陌	陌	mo4	"sentier ou chemin (surélevé pour séparer les champs)"
陌生	陌生	mo4 sheng1	"inconnu__étranger"
陌生人	陌生人	mo4 sheng1 ren2	"étranger__inconnu"
陌路	陌路	mo4 lu4	"étranger (littéraire)"
陌陌	陌陌	Mo4 mo4	"Momo (application de messagerie basée sur le GPS)"
降	降	xiang2	"capituler__se rendre__dominer__soumettre"
降	降	jiang4	"baisser__tomber__descendre"
降下	降下	jiang4 xia4	"baisser__rabaisser__amener"
降臨	降临	jiang4 lin2	"arriver__descendre"
降價	降价	jiang4 jia4	"dévalorisation__en solde__baisser le prix"
降伏	降伏	xiang2 fu2	"dompter__dresser"
降低	降低	jiang4 di1	"baisser__réduire"
降低成本	降低成本	jiang4 di1 cheng2 ben3	"réduire les couts"
降壓	降压	jiang4 ya1	"réduire la pression (d'un fluide)__abaisser la tension"
降冪	降幂	jiang4 mi4	"puissance décroissante (math.)"
降幅	降幅	jiang4 fu2	"degré de réduction (prix, nombre, etc.)__décliner__chuter"
降水	降水	jiang4 shui3	"précipitation"
降溫	降温	jiang4 wen1	"baisser la température"
降生	降生	jiang4 sheng1	"être né__arrivée d'un nouveau-né__naissance (d'un sauveur ou un chef religieux)"
降級	降级	jiang4 ji2	"dégradation__déqualification__rétrogradation"
降落	降落	jiang4 luo4	"atterrir"
降解	降解	jiang4 jie3	"Décomposition chimique"
降雨	降雨	jiang4 yu3	"précipitations"
限	限	xian4	"limite__limiter__borner"
限價	限价	xian4 jia4	"limite sur le prix"
限制	限制	xian4 zhi4	"limiter__restreindre__limitation"
限制性片段長度多態性	限制性片段长度多态性	xian4 zhi4 xing4 pian4 duan4 chang2 du4 duo1 tai4 xing4	"polymorphisme de longueur des fragments de restriction"
限定	限定	xian4 ding4	"déterminer__limitation__localisation__définition__circonscrire__finitude__borner"
限度	限度	xian4 du4	"limite"
限期	限期	xian4 qi1	"délai__fixer un délai"
限速	限速	xian4 su4	"limitation de vitesse"
限量	限量	xian4 liang2	"limite de quantification"
限量版	限量版	xian4 liang4 ban3	"édition limitée"
限額	限额	xian4 e2	"plafonds numériques"
陑	陑	Er2	"(nom de lieu)"
陔	陔	gai1	"niveau__degré__marche"
陝	陕	Shan3	"autre nom de la province du Shaanxi"
陝北	陕北	Shan3 bei3	"Shanbei (Shaanxi)"
陝南	陕南	Shan3 nan2	"Shannan (Shaanxi)"
陝甘	陕甘	Shan3 Gan1	"provinces du Shaanxi et du Gansu"
陝西	陕西	Shan3 xi1	"Shaanxi"
陝西師範大學	陕西师范大学	Shan3 xi1 Shi1 fan4 Da4 xue2	"Université normale du Shaanxi"
陝西科技大學	陕西科技大学	Shan3 xi1 Ke1 ji4 Da4 xue2	"Université des sciences et des technologies du Shaanxi"
陛	陛	bi4	"marche du trône"
陛下	陛下	bi4 xia4	"(votre ou sa) Majesté__sire"
陟	陟	zhi4	"gravir__élever"
陡	陡	dou3	"abrupt__escarpé__brusquement__subitement"
陡壁	陡壁	dou3 bi4	"paroi abrupte__à pic"
陡峭	陡峭	dou3 qiao4	"abrupt__escarpé"
陡然	陡然	dou3 ran2	"soudainement__de façon inattendue__brusquement__brutalement"
院	院	yuan4	"cour__(désignation pour certains établissements gouvernementaux ou publics)__institut"
院壩	院坝	yuan4 ba4	"cour (dial.)"
院士	院士	yuan4 shi4	"académicien"
院子	院子	yuan4 zi5	"préau__cour__cour intérieure__patio"
院校	院校	yuan4 xiao4	"académie"
院落	院落	yuan4 luo4	"tribunal__cour"
院長	院长	yuan4 zhang3	"président du conseil d'administration__président (d'une université, etc.)__chef de département__doyen"
除	除	chu2	"excepté__à part__en plus de__outre__supprimer__éliminer__diviser"
除了	除了	chu2 le5	"excepté__à part__sauf__hormis__à l'exception de__déduction faite de"
除以	除以	chu2 yi3	"divisé par"
除淨	除净	chu2 jing4	"supprimer complètement__éliminer__purifier de"
除去	除去	chu2 qu4	"éliminer__enlèvement__élimination__dédramatiser__enlever__retirer__épousseter"
除夕	除夕	Chu2 xi1	"réveillon du Nouvel An chinois"
除外	除外	chu2 wai4	"exclusivement__à l'exclusion de"
除塵	除尘	chu2 chen2	"éliminer la poussière__filtrer les particules fines"
除盡	除尽	chu2 jin4	"distributivité de la multiplication"
除開	除开	chu2 kai1	"à part__sauf__se débarrasser de (qqn)__(math.) diviser"
除掉	除掉	chu2 diao4	"se débarrasser de__éliminer"
除此之外	除此之外	chu2 ci3 zhi1 wai4	"hors cela__autre que cela"
除稅及利息前盈利	除税及利息前盈利	chu2 shui4 ji2 li4 xi2 qian2 ying2 li4	"bénéfices avant intérêts et impôts"
除罪	除罪	chu2 zui4	"pardonner"
除罪化	除罪化	chu2 zui4 hua4	"décriminaliser"
除過	除过	chu2 guo4	"(dial.) sauf__outre"
除非	除非	chu2 fei1	"seulement si__à moins que__sauf si"
隕	陨	yun3	"tomber du ciel"
隕石	陨石	yun3 shi2	"météorite"
險	险	xian3	"danger__péril"
險些	险些	xian3 xie1	"peu s'en faut que__presque"
險境	险境	xian3 jing4	"situation dangereuse"
險峻	险峻	xian3 jun4	"escrapé__abrupt"
險惡	险恶	xian3 e4	"dangereux__périlleux__méchant__perfide"
險情	险情	xian3 qing2	"péril__circonstance dangereuse"
險種	险种	xian3 zhong3	"type d'assurance"
險要	险要	xian3 yao4	"fief inaccessible__forteresse stratégique"
險詐	险诈	xian3 zha4	"rusé__pervers__fourbe__dangereux"
陪	陪	pei2	"accompagner__tenir compagnie à qqn"
陪產假	陪产假	pei2 chan3 jia4	"congé paternité"
陪伴	陪伴	pei2 ban4	"accompagner"
陪同	陪同	pei2 tong2	"accompagnateur__accompagner"
陪域	陪域	pei2 yu4	"ensemble d'arrivée (math.)"
陪睡	陪睡	pei2 shui4	"relation sexuelle contre un traitement favorable (promotion, hébergement gratuit, etc.)__dormir dans le même lit que son enfant"
陪練	陪练	pei2 lian4	"partenaire de formation"
陪聊	陪聊	pei2 liao2	"tenir compagnie à qqn pour discuter__être une escorte payée"
陬	陬	zou1	"angle"
陲	陲	chui2	"frontière"
陴	陴	pi2	"parapet"
陵	陵	ling2	"colline__tombeau__mausolée"
陵園	陵园	ling2 yuan2	"cimetière__parc mausolée"
陵墓	陵墓	ling2 mu4	"tombeau"
陶	陶	tao2	"poterie__terre cuite__(nom de famille)"
陶俑	陶俑	tao2 yong3	"figurine en terre cuite (incinérée lors de cérémonies funéraires)"
陶公府	陶公府	tao2 gong1 fu3	"Province de Narathiwat (Thaïlande)"
陶冶	陶冶	tao2 ye3	"façonner et fondre__modeler__éduquer__former__cultiver__exercer une influence saine sur le caractère de qqn__façonner la personnalité"
陶冶情操	陶冶情操	tao2 ye3 qing2 cao1	"cultiver l'esprit__se forger un caractère"
陶器	陶器	tao2 qi4	"poterie"
陶宗儀	陶宗仪	Tao2 Zong1 yi2	"Tao Zongyi"
陶格夫匹爾斯	陶格夫匹尔斯	tao2 ge2 fu2 pi3 er3 si1	"Daugavpils (Lettonie)"
陶波	陶波	tao2 bo1	"Taupo (Nouvelle-Zélande)"
陶波湖	陶波湖	tao2 bo1 hu2	"Lac Taupo (Nouvelle-Zélande)"
陶瓷	陶瓷	tao2 ci2	"céramique__poterie"
陶藝	陶艺	tao2 yi4	"céramiste"
陶行知	陶行知	Tao2 Xing2 zhi1	"Tao Xingzhi"
陶醉	陶醉	tao2 zui4	"s'enticher de__s'enivrer de__être enchanté par__se délecter de"
陶裡亞蒂	陶里亚蒂	tao2 li3 ya4 di4	"Togliatti (Russie)"
陷	陷	xian4	"tomber__s'enliser__s'enfoncer__accuser faussement__piège__trappe__fosse"
陷於	陷于	xian4 yu2	"sombrer"
陷入	陷入	xian4 ru4	"s'enfoncer__sombrer__tomber"
陷害	陷害	xian4 hai4	"accuser faussement"
陷阱	陷阱	xian4 jing3	"piège__trappe"
陼	陼	zhu3	"ilot__bande"
隃	隃	yu2	"excéder__sauter par-dessus"
隅	隅	yu2	"coin__bord"
隆	隆	long1	"proéminent__profond"
隆	隆	long2	"grandiose__solennel__prospère__intense__proéminent__mouvement ondulant, ondoyant__houle"
隆德	隆德	Long2 de2	"Lund (Suède)"
隆林各族自治縣	隆林各族自治县	Long2 lin2 Ge4 zu2 Zi4 zhi4 xian4	"Xian autonome de diverses nationalités de Longlin"
隆河	隆河	Long2 He2	"Rhône (fleuve)"
隆胸	隆胸	long2 xiong1	"implants mammaires__chirurgie mammaire"
隆起	隆起	long2 qi3	"se gonfler__se bomber"
隆重	隆重	long2 zhong4	"solennel__grandiose"
隆隆	隆隆	long2 long2	"roulement"
隈	隈	wei1	"baie__crique"
隋	隋	Sui2	"(nom de famille)"
隋唐	隋唐	Sui2 Tang2	"dynasties Sui et Tang"
隍	隍	huang2	"fossé de rempart__génie d'une ville"
隨	随	sui2	"au fur et à mesure__suivre__se conformer à__permettre"
隨之	随之	sui2 zhi1	"dès lors__par la suite__par conséquent"
隨從	随从	sui2 cong2	"suivre__accompagner"
隨伴	随伴	sui2 ban4	"accompagner"
隨便	随便	sui2 bian4	"n'importe (quel, qui, quoi, où, quand)__à sa guise__arbitrairement__sans intention particulière__sans façon__selon son désir__être à l'aise"
隨俗	随俗	sui2 su2	"selon les habitudes__faire comme les traditions locales l'exigent__faire comme les Romains font"
隨即	随即	sui2 ji2	"immédiatement__tout de suite__aussitôt"
隨口	随口	sui2 kou3	"parler sans réfléchir__prononcer les premiers mots qui passent par la tête"
隨同	随同	sui2 tong2	"accompagner__suivre"
隨後	随后	sui2 hou4	"ensuite__puis__par la suite"
隨和	随和	sui2 he2	"facilité__conciliant"
隨地	随地	sui2 di4	"partout__n'importe où"
隨堂測驗	随堂测验	sui2 tang2 ce4 yan4	"quizz (évaluation des élèves)"
隨處	随处	sui2 chu4	"partout__n'importe où"
隨大溜	随大溜	sui2 da4 liu4	"suivre la masse"
隨心	随心	sui2 xin1	"satisfaire à son désir__trouver satisfaction"
隨心所欲	随心所欲	sui2 xin1 suo3 yu4	"(expr. idiom.) agir à son gré__agir à sa guise__agir selon sa fantaisie__agir arbitrairement"
隨想曲	随想曲	sui2 xiang3 qu3	"capriccio (musique)"
隨意	随意	sui2 yi4	"selon son bon plaisir"
隨感	随感	sui2 gan3	"impressions"
隨手	随手	sui2 shou3	"au passage__sans effort"
隨插即用	随插即用	sui2 cha1 ji2 yong4	"plug and play (inform.)"
隨時	随时	sui2 shi2	"à tout moment__n'importe quand__constamment"
隨時隨地	随时随地	sui2 shi2 sui2 di4	"(expr. idiom.) en tout temps et en tout lieu__n'importe quand et n'importe où__toujours et partout"
隨機	随机	sui2 ji1	"chance__hasard__coïncidence__adon"
隨波逐流	随波逐流	sui2 bo1 zhu2 liu2	"(expr. idiom.) dériver__suivre la foule aveuglément"
隨著	随着	sui2 zhe5	"suivre__accompagner__avec__au fur et à mesure que"
隨筆	随笔	sui2 bi3	"essai"
随缘	随缘	sui2 yuan2	"suivre son destin amoureux"
隨葬	随葬	sui2 zang4	"funéraire"
隨葬物	随葬物	sui2 zang4 wu4	"objets funéraires"
隨行	随行	sui2 xing2	"accompagner"
隨身	随身	sui2 shen1	"(porter) sur soi__avec soi"
隨身聽	随身听	sui2 shen1 ting1	"baladeur__walkman"
隨順	随顺	sui2 shun4	"suivre__aller avec__accompagner"
隨風	随风	sui2 feng1	"porté par le vent__insouciant"
隱	隐	yin4	"se pencher sur"
隱	隐	yin3	"caché__latent"
隱匿	隐匿	yin3 ni4	"couvrir__cacher"
隱去	隐去	yin3 qu4	"disparaître__cacher"
隱含	隐含	yin3 han2	"contenir sous une forme cachée__maintenir couvert__implicite"
隱士	隐士	yin3 shi4	"reclus__ermite"
隱密	隐密	yin3 mi4	"secret__caché"
隱射	隐射	yin3 she4	"faire illusion__insinuer"
隱居	隐居	yin3 ju1	"vivre en ermite"
隱居隆中	隐居隆中	yin3 ju1 long2 zhong1	"vivre en ermite__vivre isolé"
隱形	隐形	yin3 xing2	"invisible__caché"
隐形摄像机	隐形摄像机	yin3 xing2 she4 xiang4 ji1	"caméra cachée (télévision)"
隱形眼鏡	隐形眼镜	yin3 xing2 yan3 jing4	"lentilles de contact"
隱忍	隐忍	yin3 ren3	"endurer avec patience__souffrir en silence__supporter"
隱忍不發	隐忍不发	yin3 ren3 bu4 fa1	"(expr. idiom.) garder ses émotions à l'intérieur de soi__cacher ses émotions"
隱忍不言	隐忍不言	yin3 ren3 bu4 yan2	"(expr. idiom.) garder ses émotions à l'intérieur de soi__cacher ses émotions"
隱憂	隐忧	yin3 you1	"peine intime"
隱性	隐性	yin3 xing4	"récessif"
隱患	隐患	yin3 huan4	"danger caché dans qch__dommages cachés__mal invisible"
隱情	隐情	yin3 qing2	"secret__mystère__sentiment secret"
隱歧島	隐歧岛	yin3 qi2 dao3	"Îles Oki (Japon)"
隱瞞	隐瞒	yin3 man2	"cacher"
隱瞞不報	隐瞒不报	yin3 man2 bu4 bao4	"couvrir (une affaire qui devrait être signalée aux autorités)"
隱私	隐私	yin3 si1	"vie privée__secrets"
隐私国际	隐私国际	yin4 si1 guo2 ji4	"Privacy International (ONG)"
隱私權	隐私权	yin3 si1 quan2	"droit à la vie privée"
隱秘	隐秘	yin3 mi4	"secret__caché"
隱約	隐约	yin3 yue1	"vague__flou"
隱蔽	隐蔽	yin3 bi4	"se cacher__se dissimuler__se mettre à couvert"
隱藏	隐藏	yin3 cang2	"cacher__masquer__dissimuler__se blottir__se mettre à l'abri__caché__privé__encastré__secret__cachette"
隱襲	隐袭	yin3 xi2	"insidieux"
隱諱號	隐讳号	yin3 hui4 hao4	"symbole de croix utilisé pour remplacer un caractère qu'on ne souhaite pas afficher"
隱隱	隐隐	yin3 yin3	"indistinct__flou"
隱隱約約	隐隐约约	yin3 yin3 yue1 yue1	"faible__lointain__à peine audible"
隱龜	隐龟	yin3 gui1	"tortue de la Mary River"
隔	隔	ge2	"séparer__diviser__distancer__espacer__cloison"
隔三差五	隔三差五	ge2 san1 cha4 wu3	"(expr. idiom.) de temps à autre__de temps en temps"
隔代結婚	隔代结婚	ge2 dai4 jie2 hun1	"mariage intergénérationnel"
隔壁	隔壁	ge2 bi4	"voisin (de palier)__(la) porte d'à côté"
隔天	隔天	ge2 tian1	"le lendemain__un jour sur deux"
隔開	隔开	ge2 kai1	"séparation__écarter__cloisonnage__disjoindre__cloisonner__espacement"
隔斷	隔断	ge2 duan4	"intercepter__couper"
隔油池	隔油池	ge2 you2 chi2	"trappe à graisse"
隔熱	隔热	ge2 re4	"isolation thermique"
隔離	隔离	ge2 li2	"isoler__séparer"
隔絕	隔绝	ge2 jue2	"séparer__isoler__être isolé__couper les relations__être coupé de"
隔膜	隔膜	ge2 mo2	"incompréhension mutuelle__malentendu__mésintelligence"
隔閡	隔阂	ge2 he2	"malentendu__discorde"
隔靴搔癢	隔靴搔痒	ge2 xue1 sao1 yang3	"(expr. idiom.) se gratter les orteils sans enlever ses chaussures__qch de vain, d'inutile"
隔音	隔音	ge2 yin1	"insonorisation__isolation phonique"
隗	隗	wei3	"éminent__noble"
隗	隗	Kui2	"(nom de famille)"
隘	隘	ai4	"étroit__défilé__passage difficile__confiné__en détresse"
隙	隙	xi4	"fente__fissure__occasion"
障	障	zhang4	"obstacle__barrière__bloquer"
障壁	障壁	zhang4 bi4	"barrière"
障礙	障碍	zhang4 ai4	"obstacle__entrave"
障礙手勢	障碍手势	zhang4 ai4 shou3 shi4	"geste barrière"
障礙物	障碍物	zhang4 ai4 wu4	"barrière"
隞	隞	Ao2	"Ao, capitale de la dynastie Shang (partie nord est de la ville moderne de Zhengzhou, Henan)"
隧	隧	sui4	"tunnel__passage souterrain"
隧道	隧道	sui4 dao4	"tunnel"
隩	隩	yu4	"baie__crique"
隮	隮	ji1	"arc-en-ciel"
隐蔽	隱蔽	yin3 bi4	"secret__caché"
隳	隳	hui1	"détruire"
隸	隶	li4	"dépendre de__être subordonné à__esclave__scribe"
隸書	隶书	li4 shu1	"écriture des clercs"
隸屬	隶属	li4 shu3	"dépendre de"
隹	隹	zhui1	"oiseaux à queue courte__(172e radical)"
隼	隼	sun3	"faucon__falco (genre)"
雋	隽	jun4	"gras__savoureux"
雋	隽	juan4	"signifiant__significatif"
難	难	nan2	"difficile__ennuyeux__fatigant"
難	难	nan4	"désastre__détresse__calamité__infortune__malheur"
難上加難	难上加难	nan2 shang4 jia1 nan2	"extrêmement difficile__encore plus difficile"
難上難	难上难	nan2 shang4 nan2	"extrêmement difficile__encore plus difficile"
難不倒	难不倒	nan2 bu4 dao3	"ne pas poser un problème à qqn"
難不成	难不成	nan2 bu4 cheng2	"Est-il possible que..?"
難為	难为	nan2 wei5	"se trouver gêné__avoir honte de"
難為情	难为情	nan2 wei2 qing2	"honte__gênant__embarrassant__gêné__embarrassé"
難事	难事	nan2 shi4	"difficulté"
難產	难产	nan2 chan3	"dystocie__accouchement difficile"
難以	难以	nan2 yi3	"difficile à"
難以撼動	难以撼动	nan2 yi3 han4 dong4	"non susceptible de changer__profondément enracinée"
難以置信	难以置信	nan2 yi3 zhi4 xin4	"difficile à croire__incroyable"
難以自已	难以自已	nan2 yi3 zi1 yi3	"(expr. idiom.) être hors de soi"
難伺候	难伺候	nan2 ci4 hou5	"difficile à satisfaire__haute maintenance"
難住	难住	nan2 zhu4	"déconcerter__rendre perplexe"
難保	难保	nan2 bao3	"il n'est pas certain__difficile à protéger"
難倒	难倒	nan2 dao3	"déjouer__dérouter__confondre__laisser perplexe__embarrasser__persécuter"
難做	难做	nan2 zuo4	"difficile (à faire)__avec difficulté"
難兄難弟	难兄难弟	nan2 xiong1 nan2 di4	"(expr. idiom.) difficile de différencier le frère ainé du plus jeune__aussi mauvais l'un que l'autre"
難免	难免	nan2 mian3	"inévitable"
難關	难关	nan2 guan1	"passage difficile__mauvaise passe__barrière infranchissable__situation pénible__moment critique__épreuve__période difficile"
難受	难受	nan2 shou4	"affligé__souffrant__souffrir__se sentir mal à l'aise__s'attrister__difficile à supporter"
難聽	难听	nan2 ting1	"désagréable à entendre__grossier__vulgaire__offensif__honteux"
難堪	难堪	nan2 kan1	"embarrassé__gêné"
難處	难处	nan2 chu5	"difficulté__problème__hic"
難度	难度	nan2 du4	"degré de difficulté"
難得	难得	nan2 de2	"précieux__rare__peu fréquent"
難忘	难忘	nan2 wang4	"inoubliable"
難怪	难怪	nan2 guai4	"il n'y a rien d'étonnant à ce que__il n'est pas étonnant que"
難懂	难懂	nan2 dong3	"difficile (à comprendre)__incompréhensible"
難民	难民	nan4 min2	"réfugié"
難民營	难民营	nan4 min2 ying2	"camp de réfugiés"
難測	难测	nan2 ce4	"difficile à comprendre"
難點	难点	nan4 dian3	"obstacle__difficulté"
難點	难点	nan2 dian3	"difficulté"
難熬	难熬	nan2 ao2	"difficile à supporter__insupportable"
難看	难看	nan2 kan4	"laid__moche__scandaleux"
難纏	难缠	nan2 chan2	"difficile__exigeant__gênant__déraisonnable__difficile à gérer"
難耐	难耐	nan2 nai4	"difficilement supportable__intolérable__pénible"
難能可貴	难能可贵	nan2 neng2 ke3 gui4	"rare et précieux__précieux__remarquable"
難解	难解	nan2 jie3	"difficile à résoudre"
難言	难言	nan2 yan2	"difficile à dire__indicible"
難說	难说	nan2 shuo1	"être difficile à dire__avoir de la peine à dire la vérité__ne pas être sûr de"
難過	难过	nan2 guo4	"affligé__souffrant__triste__traverser des moments difficiles"
難道	难道	nan2 dao4	"serait-il possible que"
難聞	难闻	nan2 wen2	"odeur désagréable__puanteur"
難題	难题	nan2 ti2	"problème difficile à résoudre"
雀	雀	qiao1	"rousseur__lentigo"
雀	雀	qiao3	"(oiseau)"
雀	雀	que4	"moineau__petit oiseau"
雀兒喜	雀儿喜	Que4 er2 xi3	"Chelsea (New York)"
雀兒山	雀儿山	Que4 er2 Shan1	"mont Chola"
雀巢	雀巢	Que4 chao2	"Nestlé"
雀形目	雀形目	que4 xing2 mu4	"Passeriformes (oiseaux)"
雀斑	雀斑	que4 ban1	"tache de rousseur__éphélide"
雀躍	雀跃	que4 yue4	"sauter de joie"
雀鳥	雀鸟	que4 niao3	"passeriforme__passereau"
鴈	雁	yan4	"oie sauvage"
雁澤	雁泽	yan3 ze2	"déductible (logique math.)"
雂	雂	qin2	"(oiseau)"
雄	雄	xiong2	"mâle__grand__grandiose__puissant"
雄偉	雄伟	xiong2 wei3	"grandiose"
雄體	雄体	xiong2 ti3	"mâle d'une espèce"
雄厚	雄厚	xiong2 hou4	"fort__puissant"
雄圖	雄图	xiong2 tu2	"plan grandiose__grande ambition"
雄壯	雄壮	xiong2 zhuang4	"majestueux__imposant"
雄心	雄心	xiong2 xin1	"ambition__grand dessein"
雄性	雄性	xiong2 xing4	"mâle (biologie)"
雄渾	雄浑	xiong2 hun2	"vigoureux__affermi__énergique"
雄獅	雄狮	xiong2 shi1	"lion (mâle)"
雄略天皇	雄略天皇	xiong2 lu:e4 tian1 huang2	"Yuryaku (empereur du Japon)"
雄蜂	雄蜂	xiong2 feng1	"apis (genre)__abeille mâle"
雄蝶	雄蝶	xiong2 die2	"papillon mâle"
雄風	雄风	xiong2 feng1	"(lit.) vent puissant__impressionnant"
雄鷹	雄鹰	xiong2 ying1	"aigle mâle__tercel (faucon mâle utilisé dans les fauconneries)"
雄黃	雄黄	xiong2 huang2	"réalgar (minéral)"
雄黃酒	雄黄酒	xiong2 huang2 jiu3	"vin réalgar"
雅	雅	ya3	"élégant__gracieux"
雅丹地貌	雅丹地貌	ya3 dan1 di4 mao4	"yardang (géologie)"
雅俗共賞	雅俗共赏	ya3 su2 gong4 shang3	"(expr. idiom.) être apprécié à la fois par les personnes au gout raffiné et par les roturiers__être à la portée de tout le monde"
雅典	雅典	Ya3 dian3	"Athènes"
雅典娜	雅典娜	Ya3 dian3 na4	"Athéna"
雅安地區	雅安地区	Ya3 an1 di4 qu1	"préfecture de Ya'an (Sichuan)"
雅布洛諾伕山脈	雅布洛诺夫山脉	ya3 bu4 luo4 nuo4 fu1 shan1 mai4	"Monts Iablonovy (Sibérie)"
雅思	雅思	Ya3 si1	"International English Language Testing System"
雅拉	雅拉	ya3 la1	"parc Yala (Sri Lanka)"
雅拉市	雅拉市	ya3 la1 shi4	"Ville de Yarra (Australie)"
雅拉河	雅拉河	ya3 la1 he2	"Yarra (fleuve d'Australie)"
雅溫得國際機場	雅温得国际机场	ya3 wen1 de2 guo2 ji4 ji1 chang3	"Aéroport international de Yaoundé"
雅皮	雅皮	ya3 pi2	"jeune professionnel urbain__yuppie"
雅礱江	雅砻江	Ya3 long2 jiang1	"Yalong (rivière dans le Sichuan)"
雅禮協會	雅礼协会	Ya3 li3 Xie2 hui4	"Yale-China Association"
雅穆索戈	雅穆索戈	Ya3 mu4 suo3 ge1	"Yamoussoukro"
雅羅魚	雅罗鱼	ya3 luo2 yu2	"ide mélanote (poisson)"
雅美族	雅美族	Ya3 mei3 zu2	"Da'o (groupe ethnique de Taïwan)"
雅致	雅致	ya3 zhi4	"élégance__raffinement__distinction"
雅芳	雅芳	Ya3 fang1	"Avon"
雅虎	雅虎	Ya3 hu3	"Yahoo!"
雅西	雅西	ya3 xi1	"Iasi (Roumanie)"
雅赫摩斯一世	雅赫摩斯一世	ya3 he4 mo2 si1 yi1 shi4	"Ahmôsis Ier (pharaon)"
雅赫摩斯二世	雅赫摩斯二世	ya3 he4 mo2 si1 er4 shi4	"Ahmôsis II (pharaon)"
雅閣	雅阁	Ya3 ge2	"Accord (voiture Honda)"
雅高集糰	雅高集团	ya3 gao1 ji2 tuan2	"Accor (groupe hôtelier)"
雅魯藏布江	雅鲁藏布江	Ya3 lu3 Zang4 bu4 jiang1	"Brahmapoutre (fleuve du Tibet)"
集	集	ji2	"rassembler__réunir__collection__tome__volume__partie__épisode__réunion__rassemblement"
集中	集中	ji2 zhong1	"concentrer__centraliser__se concentrer"
集中營	集中营	ji2 zhong1 ying2	"camp de concentration"
集會	集会	ji2 hui4	"se ressembler"
集體	集体	ji2 ti3	"collectif__collectivité__social__équipe"
集體經濟	集体经济	ji2 ti3 jing1 ji4	"économie collective"
集合	集合	ji2 he2	"se réunir__réunion__ensemble (math.)"
集團	集团	ji2 tuan2	"groupe__bloc__bande__multinationale"
集團軍	集团军	ji2 tuan2 jun1	"Groupe d'armées"
集子	集子	ji2 zi5	"anthologie__morceaux choisis"
集市	集市	ji2 shi4	"foire__bazar (marché)"
集成	集成	ji2 cheng2	"intégré (comme un circuit intégré)"
集成電路	集成电路	ji2 cheng2 dian4 lu4	"circuit intégré"
集散	集散	ji2 san4	"recueillir pour distribution"
集散地	集散地	ji2 san4 di4	"centre de distribution"
集權	集权	ji2 quan2	"centralisation des pouvoirs"
集線器	集线器	ji2 xian4 qi4	"concentrateur"
集結	集结	ji2 jie2	"conciles bouddhiques"
集群	集群	ji2 qun2	"Agrégat"
集聚	集聚	ji2 ju4	"constriction"
集英社	集英社	ji2 ying1 she4	"Shueisha (société)"
集裝箱	集装箱	ji2 zhuang1 xiang1	"conteneur"
集訓	集训	ji2 xun4	"se réunir pour une formation ou pour un perfectionnement"
集資	集资	ji2 zi1	"réunir des fonds"
集郵	集邮	ji2 you2	"faire la collection de timbres__philatélie"
集錦	集锦	ji2 jin3	"le meilleur du meilleur__collection des spécimens choisis"
集鎮	集镇	ji2 zhen4	"bourg__ville"
雇	雇	gu4	"louer__employer"
雇主	雇主	gu4 zhu3	"employeur"
雇傭	雇佣	gu4 yong1	"embaucher__employer"
雇傭兵	雇佣兵	gu4 yong1 bing1	"mercenaire"
僱農	雇农	gu4 nong2	"salarié, ouvrier agricole__paysan"
雇員	雇员	gu4 yuan2	"employé"
僱用	雇用	gu4 yong4	"louage__employer"
雉	雉	zhi4	"faisan"
雉鶉	雉鹑	zhi4 chun2	"Tétraophase de Verreaux"
雊	雊	gou4	"chant du faisan"
雌	雌	ci2	"femelle"
雌體	雌体	ci2 ti3	"femelle d'une espèce"
雌性	雌性	ci2 xing4	"femelle"
